Example File,Type,Pattern,Passed Tests,Applied,Flawed,Not Applied,Perfect,LOC,Response Length,CL,Comment Density
calculator.py,custom,Adapter,86.67 %,60.0 %,26.67 %,13.33 %,60.0 %,29.13,288.13,2.07,6.62 %
gridmovement.py,custom,Adapter,100.0 %,0.0 %,100.0 %,0.0 %,0.0 %,39.73,438.87,0.0,0.0 %
roundhole.py,standard,Adapter,100.0 %,6.67 %,93.33 %,0.0 %,6.67 %,33.8,293.53,0.0,0.0 %
icecream.py,custom,Decorator,60.0 %,6.67 %,86.67 %,6.67 %,0.0 %,47.07,335.6,0.4,0.84 %
sword.py,custom,Decorator,93.33 %,26.67 %,0.0 %,73.33 %,26.67 %,30.47,226.87,0.0,0.0 %
cafecito.py,standard,Decorator,100.0 %,73.33 %,26.67 %,0.0 %,73.33 %,56.33,359.6,0.0,0.0 %
monster.py,custom,Factorymethod,53.33 %,100.0 %,0.0 %,0.0 %,53.33 %,71.13,571.8,15.8,18.17 %
wand.py,custom,Factorymethod,100.0 %,100.0 %,0.0 %,0.0 %,100.0 %,75.33,496.6,7.2,8.72 %
car.py,standard,Factorymethod,100.0 %,60.0 %,0.0 %,40.0 %,60.0 %,59.93,472.27,6.93,10.37 %
Stall.py,custom,State,100.0 %,100.0 %,0.0 %,0.0 %,100.0 %,74.13,544.4,0.13,0.18 %
elevator.py,custom,State,73.33 %,100.0 %,0.0 %,0.0 %,73.33 %,66.0,496.8,3.4,4.9 %
traffic_light.py,standard,State,60.0 %,100.0 %,0.0 %,0.0 %,60.0 %,35.53,264.0,0.0,0.0 %
Vector.py,custom,Strategy,100.0 %,100.0 %,0.0 %,0.0 %,100.0 %,35.0,344.87,0.0,0.0 %
graphtraversal.py,custom,Strategy,100.0 %,100.0 %,0.0 %,0.0 %,100.0 %,33.13,323.0,0.0,0.0 %
validator.py,standard,Strategy,100.0 %,100.0 %,0.0 %,0.0 %,100.0 %,29.87,228.87,0.0,0.0 %
