Pattern,Example File,Standard/Custom,Model Name,Total Iterations,All Tests Passed Count,Applies Design Pattern Yes,Applies Design Pattern No,Applies Design Pattern Flawed
Adapter,calculator.py,custom,gemini-2.5-flash-preview-05-20,15,15,12,0,3
Adapter,calculator.py,custom,gpt-4o-2024-08-06,15,13,9,2,4
Adapter,gridmovement.py,custom,gemini-2.5-flash-preview-05-20,15,15,13,0,2
Adapter,gridmovement.py,custom,gpt-4o-2024-08-06,15,15,0,0,15
Adapter,roundhole.py,standard,gemini-2.5-flash-preview-05-20,15,15,15,0,0
Adapter,roundhole.py,standard,gpt-4o-2024-08-06,15,15,1,0,14
Decorator,cafecito.py,standard,gemini-2.5-flash-preview-05-20,15,13,15,0,0
Decorator,cafecito.py,standard,gpt-4o-2024-08-06,15,15,11,0,4
Decorator,icecream.py,custom,gemini-2.5-flash-preview-05-20,15,15,7,0,8
Decorator,icecream.py,custom,gpt-4o-2024-08-06,15,9,1,1,13
Decorator,sword.py,custom,gemini-2.5-flash-preview-05-20,15,15,15,0,0
Decorator,sword.py,custom,gpt-4o-2024-08-06,15,14,4,11,0
Factorymethod,car.py,standard,gemini-2.5-flash-preview-05-20,15,15,15,0,0
Factorymethod,car.py,standard,gpt-4o-2024-08-06,15,15,9,6,0
Factorymethod,monster.py,custom,gemini-2.5-flash-preview-05-20,15,13,13,2,0
Factorymethod,monster.py,custom,gpt-4o-2024-08-06,15,8,15,0,0
Factorymethod,wand.py,custom,gemini-2.5-flash-preview-05-20,15,14,15,0,0
Factorymethod,wand.py,custom,gpt-4o-2024-08-06,15,15,15,0,0
State,Stall.py,custom,gemini-2.5-flash-preview-05-20,15,15,15,0,0
State,Stall.py,custom,gpt-4o-2024-08-06,15,15,15,0,0
State,elevator.py,custom,gemini-2.5-flash-preview-05-20,15,14,14,1,0
State,elevator.py,custom,gpt-4o-2024-08-06,15,11,15,0,0
State,traffic_light.py,standard,gemini-2.5-flash-preview-05-20,15,13,15,0,0
State,traffic_light.py,standard,gpt-4o-2024-08-06,15,9,15,0,0
Strategy,Vector.py,custom,gemini-2.5-flash-preview-05-20,15,15,15,0,0
Strategy,Vector.py,custom,gpt-4o-2024-08-06,15,15,15,0,0
Strategy,graphtraversal.py,custom,gemini-2.5-flash-preview-05-20,15,15,15,0,0
Strategy,graphtraversal.py,custom,gpt-4o-2024-08-06,15,15,15,0,0
Strategy,validator.py,standard,gemini-2.5-flash-preview-05-20,15,15,15,0,0
Strategy,validator.py,standard,gpt-4o-2024-08-06,15,15,15,0,0
